Return,Volatility,Sharpe,EQ1,EQ2,EQ3,EQ4,EQ5
0.18643500977571137,0.15521333389996952,1.2011533100362584,0.13488908123783344,0.24963098843001108,0.0017888399845437395,0.35023713397967104,0.2634539563679408
0.1908970209912359,0.15940410571265004,1.197566525264767,0.2060781727658478,0.26979510954737645,0.0015132298793660928,0.3229263962294816,0.19968709157792797
0.1926006196282388,0.16087031416879913,1.197241521056181,0.2133019528594535,0.2180626882206886,0.0006547640889777748,0.28994137977047396,0.278039215060406
0.19164120013682814,0.16008914016182843,1.197090570560282,0.2157495315094528,0.2689850959275496,0.0007368581602445576,0.31749919167393603,0.19702932272881715
0.1898426989495333,0.15860479079829576,1.1969543794611102,0.18749437332824084,0.27027855400423884,0.0049628920752556194,0.3139212023373169,0.22334297825494784
0.1884650001506944,0.15749491442469662,1.1966418143666826,0.15723079573312376,0.18824988465114142,0.00104274296427016,0.33573666395680385,0.3177399126946608
0.1903403395489847,0.15906266286463197,1.1966374516876481,0.19013473498853944,0.26762260818411515,0.00487935999831042,0.3021317686505182,0.2352315281785167
0.19190285189582731,0.1604025651971501,1.1963826866481864,0.19509337215400124,0.2770621737672113,0.0006744823724812178,0.26802852941447314,0.259141442291833
0.18704752946502443,0.1564041370032981,1.1959244368394177,0.1314890940002494,0.32785635799811597,0.0036092358604097844,0.29994224534585834,0.2371030667953666
0.19214963127910317,0.16071026488135337,1.1956276185653751,0.20613447167445342,0.23054291461793186,0.002843900147273714,0.28266078184718757,0.2778179317131534
